stop_name;direction_id;ligne;stop_id;stop_id_gtfs;stop_name_gtfs;jaccard;distance
LA SAUSSAYEBINEAU;0;163;85;StopPoint:59:6187690;LA SAUSSAYE  BINEAU;0.042359236;30.81003146
ILE DE LA JATTE;0;163;141;StopPoint:59:6187662;ILE DE LA JATTE;0;53.92285399
PONT BINEAU;0;163;121;StopPoint:59:6187676;PONT BINEAU;0;20.54892037
PAIXVERDUN;0;163;107;StopPoint:59:6187664;PAIX  VERDUN;0.154845745;9.669115834
VERDUNRUE LATERALE;0;163;142;StopPoint:59:6187692;VERDUN  RUE LATERALE;0.039841283;48.41569861
EUROPE;0;163;143;StopPoint:59:6187678;EUROPE;0;30.85863217
PLAISANCE;0;163;144;StopPoint:59:6187685;PLAISANCE;0;40.54517782
SOUVENIR FRANCAIS;0;163;145;StopPoint:59:6187680;SOUVENIR FRANCAIS;0;10.50139714
MAIRIE DE LA GARENNECOLOMBES;0;163;78;StopPoint:59:6187666;MAIRIE DE LA GARENNECOLOMBES;0;14.47769191
NANTERREPREFECTURERER;0;163;928;StopPoint:59:7069331;NANTERRE  PREFECTURE RER;0.049076597;191.7892023
CHARLEBOURG;0;163;83;StopPoint:59:6187695;LA GARENNECOLOMBES  CHARLEBOURG;0.167949706;63.70016027
BONNIN;0;163;84;StopPoint:59:6187687;BONNIN;0;37.43856652
COLLEGE LES CHAMPS PHILIPPE;0;163;150;StopPoint:59:6187697;COLLEGE LES CHAMPS PHILIPPE;0;18.15861324
VEUVE LACROIX;0;163;151;StopPoint:59:6187654;VEUVE LACROIX;0;78.70631754
DUMONT DURVILLE BELGIQUE;0;163;885;StopPoint:59:6187660;DUMONT DURVILLE  BELGIQUE;0.008685518;34.19521649
ARRAS;0;163;152;StopPoint:59:6187656;ARRAS;0;19.21065891
LES TERRASSES;0;163;975;StopPoint:59:4025356;LES TERRASSES;0;56.73680259
LENS;0;163;154;StopPoint:59:6187688;LENS;0;43.61771859
ESPLANADE CHARLES DE GAULLE;0;163;156;StopPoint:59:7069330;ESPLANADE CHARLES DE GAULLE;0;5.162832647
MARCEL PAULPREFECTURE;0;163;89;StopPoint:59:7069329;MARCEL PAUL  PREFECTURE;0.034983568;13.10616824
